"File","Ext","Lines"
"docs\PROMPT_IMPL_ARQUIVOS_SOCIO_v2.md",".md","1146"
"docs\PROMPT_IMPL_VIDEO_MATERIALS.md",".md","763"
"docs\PROMPT_MASTER_AUDIT_V3.md",".md","395"
"docs\PROMPT_NOTIFICATIONS_SYSTEM_V1.md",".md","847"
"docs\PROMPT_QUICKWINS_26FEV.md",".md","161"
"docs\PROMPT_SPRINT1_ELIMINACOES.md",".md","257"
"docs\PROMPT_SPRINT2_PERFORMANCE.md",".md","411"
"docs\PROMPT_SPRINT3A_PROFILEEDIT.md",".md","365"
"docs\PROMPT_SPRINT3B_QUALITY.md",".md","352"
"docs\PROMPT_SPRINT3_ARQUITETURA.md",".md","379"
"docs\PROMPT_SPRINT4_DIA1.md",".md","215"
"docs\PROMPT_SUPPORT_DOCS.md",".md","655"
"docs\prosperus_club_app_audit_2026.md",".md","363"
"docs\PROSPERUS_MASTER_PROMPT.md",".md","704"
"docs\PROSPERUS_PROMPT_LIBRARY.md",".md","515"
"docs\prosperus_pwa_documentation.md",".md","563"
"docs\PROSPERUS_QUICK_REFERENCE.md",".md","703"
"docs\PUSH-NOTIFICATIONS-FIX.md",".md","26"
"docs\QUICK_REFERENCE.md",".md","194"
"docs\README.md",".md","139"
"docs\realtime-chat-notifications.md",".md","334"
"docs\REALTIME_PUSH_SETUP.md",".md","249"
"docs\relacionamentos.md",".md","30"
"docs\RELATORIO_EXECUTIVO_COMPLETO.md",".md","446"
"docs\RESUMO_EXECUTIVO.md",".md","270"
"docs\RESUMO_PARA_TIME.md",".md","254"
"docs\rls.md",".md","146"
"docs\SESSAO_29_JAN_2026.md",".md","115"
"docs\SETUP_SUPABASE_STORAGE.md",".md","184"
"docs\SISTEMA_ATUAL.md",".md","193"
"docs\SOLUCAO_ERRO_ENUM.md",".md","105"
"docs\spec_responsive_mobile_cards.md",".md","157"
"docs\STORAGE_POLICIES_GUIA_RAPIDO.md",".md","63"
"docs\TECHNICAL_DOCUMENTATION.md",".md","561"
"docs\TERMOS_DE_USO.md",".md","140"
"docs\TROUBLESHOOTING_PROFILE.md",".md","550"
"docs\TROUBLESHOOTING_REALTIME.md",".md","115"
"docs\VIDEO_SYSTEM.md",".md","326"
"docs\walkthrough.md",".md","4212"
"docs\week_close_audit_27_02_2026.md",".md","150"
"hooks\queries\useAcademyData.ts",".ts","36"
"hooks\queries\useArticlesQuery.ts",".ts","27"
"hooks\queries\useEventsQuery.ts",".ts","15"
"hooks\gestureConfig.ts",".ts","40"
"hooks\useAnalytics.ts",".ts","123"
"hooks\useAppTour.ts",".ts","75"
"hooks\useChatSubscription.ts",".ts","38"
"hooks\useCursEducaTracker.ts",".ts","203"
"hooks\useGlobalSubscription.ts",".ts","57"
"hooks\useLongPress.ts",".ts","31"
"hooks\useOnlineStatus.ts",".ts","35"
"hooks\usePagination.ts",".ts","111"
"hooks\useProfileForm.ts",".ts","235"
"hooks\usePullToRefresh.ts",".ts","84"
"hooks\usePushNotifications.ts",".ts","274"
"hooks\useScrollLock.ts",".ts","86"
"hooks\useSwipeCarousel.ts",".ts","91"
"hooks\useSwipeDismiss.ts",".ts","78"
"hooks\useTypingIndicator.ts",".ts","80"
"hooks\useUnreadMessageCount.ts",".ts","137"
"lib\eventConfig.tsx",".tsx","45"
"lib\supabase.ts",".ts","28"
"pages\MemberFilesPage.tsx",".tsx","146"
